strategy,threshold,auc_pr,recall,f1
ADASYN,0.5,0.2893232229377194,0.78,0.23353293413173654
SMOTE,0.5,0.27827477099581927,0.8,0.24169184290030213
class_weight=balanced,0.5,0.2676975895816046,0.8,0.23952095808383234
class_weight + threshold tuning,0.5600000000000002,0.2676975895816046,0.78,0.2608695652173913
